,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
123.963,232.626,
121.052,164.51962,
118.141,116.68819,
115.231,93.761749,
112.320,77.721825,
109.410,67.272803,
106.499,60.863406,
103.589,44.933384,
100.678,34.314865,
97.767,36.447678,
94.857,37.885978,
91.946,34.06578,
89.036,26.822613,
86.125,22.567381,
83.215,20.96908,
80.304,17.626808,
77.393,9.1287685,
74.483,22.257834,
71.572,25.151775,
68.662,17.22293,
65.751,14.397126,
62.840,16.390212,
59.930,18.376283,
57.019,14.145791,
54.109,13.5,
51.198,14.404828,
48.288,16.437713,
45.377,8.7005544,
42.466,8.3855354,
39.556,12.269763,
36.645,10.865382,
33.735,8.9422546,
30.824,7.9417739,
27.914,9.3441244,
25.003,10.745275,
22.092,12.145809,
19.182,13.98054,
16.271,28.669833,
13.361,112.04827,
10.450,243.61966,
7.539,389.56757,
4.629,351.0839,
1.718,147.14724,
-1.192,-284.38523,
-4.103,-269.01034,
-7.013,-154.48692,
-9.924,3.5,
