,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
254.939,2968.0556,
252.028,3011.3318,
249.117,2991.9925,
246.207,2963.2626,
243.296,3015.9692,
240.386,3039.9088,
237.475,3015.8165,
234.565,2962.6603,
231.654,2969.2338,
228.743,2937.2537,
225.833,2900.1242,
222.922,2872.1346,
220.012,2883.0629,
217.101,2874.3571,
214.191,2866.4333,
211.280,2882.4375,
208.369,2863.4406,
205.459,2834.8602,
202.548,2819.0345,
199.638,2890.8738,
196.727,2883.7288,
193.816,2879.6659,
190.906,2906.4314,
187.995,2872.4023,
185.085,2882.3764,
182.174,2917.7904,
179.264,2958.988,
176.353,2965.5473,
173.442,2950.6725,
170.532,2926.5733,
167.621,2960.4592,
164.711,2888.6876,
161.800,2762.0483,
158.890,2605.1477,
155.979,2468.8992,
153.068,2276.0312,
150.158,2031.1096,
147.247,1751.8262,
144.337,1440.3602,
141.426,1130.758,
138.516,838.9833,
135.605,609.79137,
132.694,423.38566,
129.784,277.53135,
126.873,179.55856,
123.963,120.35916,
121.052,79.293431,
118.141,50.737351,
115.231,45.651008,
112.320,42.354092,
109.410,39.125092,
106.499,31.291385,
103.589,23.462201,
100.678,17.810135,
97.767,15.677322,
94.857,12.853044,
91.946,11.625,
89.036,11.06051,
86.125,7.5144841,
83.215,7.6868407,
80.304,8.625,
77.393,8.625,
74.483,13.210945,
71.572,14.537944,
68.662,12.763535,
65.751,14.176437,
62.840,14.143298,
59.930,11.939424,
57.019,5.5936863,
54.109,9.4022868,
51.198,11.116954,
48.288,7.5513883,
45.377,-1.5925266,
42.466,2.0449481,
39.556,11.704051,
36.645,6.0865297,
33.735,7.2212423,
30.824,8.2996782,
27.914,4.0926267,
25.003,8.6060998,
22.092,12.270809,
19.182,14.174189,
16.271,30.961952,
13.361,142.14658,
10.450,337.54698,
7.539,639.21921,
4.629,798.68802,
1.718,714.04839,
-1.192,190.49284,
-4.103,39.766611,
-7.013,-10.118687,
-9.924,-0.375,
