,PLEC39~1,
Wavenumbers [1/cm],Intensity,
985.494,4597.7672,
982.583,4632.0294,
979.673,4603.3443,
976.762,4601.5678,
973.852,4642.5928,
970.941,4691.224,
968.030,4707.6532,
965.120,4717.2506,
962.209,4776.9285,
959.299,4747.338,
956.388,4778.037,
953.477,4787.0501,
950.567,4753.2742,
947.656,4773.2282,
944.746,4790.2193,
941.835,4780.4724,
938.925,4779.9742,
936.014,4766.8369,
933.103,4736.4046,
930.193,4712.9915,
927.282,4732.4759,
924.372,4575.193,
921.461,4483.5692,
918.551,4415.0109,
915.640,4365.7274,
912.729,4318.9948,
909.819,4251.7717,
906.908,4197.0141,
903.998,4201.1583,
901.087,4253.9205,
898.176,4308.2913,
895.266,4335.3652,
892.355,4349.5489,
889.445,4432.6364,
886.534,4441.3487,
883.624,4482.6971,
880.713,4542.3181,
877.802,4531.323,
874.892,4372.7344,
871.981,4079.2714,
869.071,3921.3784,
866.160,3994.7341,
863.250,4231.334,
860.339,4400.7043,
857.428,4398.7393,
854.518,4419.7503,
851.607,4307.421,
848.697,4084.4061,
845.786,3998.7466,
842.875,4056.7332,
839.965,4187.4864,
837.054,4345.1396,
834.144,4357.5708,
831.233,4329.3356,
828.323,4295.2063,
825.412,4260.5458,
822.501,4217.4253,
819.591,4158.7509,
816.680,4094.4999,
813.770,4033.2653,
810.859,3983.8892,
807.949,3953.6927,
805.038,3942.4115,
802.127,3921.0102,
799.217,3910.8007,
796.306,3874.5133,
793.396,3853.6718,
790.485,3873.6348,
787.574,3920.3772,
784.664,3903.975,
781.753,3966.0854,
778.843,4029.3653,
775.932,4048.7286,
773.022,4022.4235,
770.111,4044.4981,
767.200,3985.8563,
764.290,3954.8646,
761.379,3947.9693,
758.469,3945.9776,
755.558,3926.3922,
752.648,3906.0271,
749.737,3860.8743,
746.826,3826.412,
743.916,3786.0321,
741.005,3711.2968,
738.095,3643.0991,
735.184,3528.4561,
732.274,3483.8964,
729.363,3553.2809,
726.452,3715.0496,
723.542,3831.6022,
720.631,3814.2993,
717.721,3878.0329,
714.810,3928.7159,
711.899,3928.3861,
708.989,3942.9108,
706.078,3922.9674,
703.168,3920.4289,
700.257,3888.5817,
697.347,3839.9132,
694.436,3836.2182,
691.525,3844.2563,
688.615,3871.1564,
685.704,3886.4317,
682.794,3887.4681,
679.883,3888.6035,
676.973,3879.7884,
674.062,3905.4375,
671.151,3904.3435,
668.241,3891.1004,
665.330,3914.2016,
662.420,3855.0955,
659.509,3863.9527,
656.598,3873.4035,
653.688,3885.8729,
650.777,3939.8101,
647.867,3963.6999,
644.956,3926.2786,
642.046,3834.0789,
639.135,3743.7249,
636.224,3754.4138,
633.314,3836.9834,
630.403,3848.5406,
627.493,3869.6534,
624.582,3905.7011,
621.672,3868.4774,
618.761,3870.0398,
615.850,3911.7731,
612.940,3938.1693,
610.029,3921.7119,
607.119,3901.9712,
604.208,3863.0793,
601.297,3870.4333,
598.387,3890.4203,
595.476,3882.143,
592.566,3862.4663,
589.655,3827.9013,
586.745,3807.0943,
583.834,3792.7775,
580.923,3760.0569,
578.013,3769.4737,
575.102,3742.1734,
572.192,3742.8662,
569.281,3794.6856,
566.371,3854.165,
563.460,3840.9524,
560.549,3854.9275,
557.639,3877.4629,
554.728,3878.0201,
551.818,3910.0131,
548.907,3956.6119,
545.996,3990.5534,
543.086,3997.625,
540.175,3968.0365,
537.265,3971.7942,
534.354,3993.5659,
531.444,4022.4744,
528.533,4047.9933,
525.622,4061.9603,
522.712,4122.6416,
519.801,4155.0356,
516.891,4160.4594,
513.980,4227.0489,
511.070,4278.7826,
508.159,4330.9521,
505.248,4385.2765,
502.338,4443.5469,
499.427,4564.7246,
496.517,4672.7979,
493.606,4739.7488,
490.695,4751.8647,
487.785,4714.9148,
484.874,4742.6036,
481.964,4753.1097,
479.053,4734.6457,
476.143,4703.9272,
473.232,4675.3821,
470.321,4716.5771,
467.411,4756.3109,
464.500,4713.4848,
461.590,4732.6283,
458.679,4761.6627,
455.769,4828.8898,
452.858,4938.5674,
449.947,4992.0426,
447.037,5017.5623,
444.126,5046.2242,
441.216,5081.9103,
438.305,5098.6728,
435.395,5123.9473,
432.484,5131.4157,
429.573,5133.1651,
426.663,5168.1316,
423.752,4826.475,
420.842,4438.6099,
417.931,4172.022,
415.020,4231.9323,
412.110,4761.4931,
409.199,5143.7528,
406.289,5332.3907,
403.378,5305.5594,
400.468,5175.5284,
397.557,5188.4999,
394.646,5300.6028,
391.736,5466.1348,
388.825,5501.5837,
385.915,5531.6912,
383.004,5551.8554,
380.094,5563.9522,
377.183,5661.0216,
374.272,5677.1444,
371.362,5687.1313,
368.451,5735.0516,
365.541,5768.8257,
362.630,5814.0519,
359.719,5838.0806,
356.809,5823.5016,
353.898,5815.2648,
350.988,5837.4119,
348.077,5851.0302,
345.167,5832.1079,
342.256,5794.7545,
339.345,5807.9145,
336.435,5842.8796,
333.524,5877.99,
330.614,5845.9483,
327.703,5846.2681,
324.793,5887.7083,
321.882,5978.8918,
318.971,5934.2853,
316.061,5988.8289,
313.150,6077.2428,
310.240,6126.2225,
307.329,6200.893,
304.418,6191.244,
301.508,6157.4062,
298.597,6204.0524,
295.687,6199.1959,
292.776,6201.6667,
289.866,6232.4853,
286.955,6334.4294,
284.044,6414.7799,
281.134,6484.4745,
278.223,6538,
275.313,6538,
272.402,6594.9285,
269.492,6588.4721,
266.581,6482.1113,
263.670,6427.7079,
260.760,6527.4467,
257.849,6654.8133,
254.939,6717.1933,
252.028,6801.2422,
249.117,6827.5181,
246.207,6825.3564,
243.296,6842.1933,
240.386,6868.8137,
237.475,6907.3563,
234.565,6949.8405,
231.654,6961.5267,
228.743,6950.7665,
225.833,6955.635,
222.922,6986.7238,
220.012,6937.9106,
217.101,6913.1671,
214.191,6908.8083,
211.280,6924.8125,
208.369,6960.9863,
205.459,6987.9813,
202.548,6987.0807,
199.638,6894.9233,
196.727,6905.9632,
193.816,6940.0409,
190.906,6969.4983,
187.995,7012.2157,
185.085,7063.8827,
182.174,7104.0206,
179.264,7100.4068,
176.353,7117.301,
173.442,7153.4667,
170.532,7192.2713,
167.621,7125.9416,
164.711,7037.0484,
161.800,6850.1177,
158.890,6490.2539,
155.979,6153.2396,
153.068,5766.6612,
150.158,5292.9291,
147.247,4587.182,
144.337,3795.9641,
141.426,3009.3472,
138.516,2269.5154,
135.605,1621.0201,
132.694,1111.1872,
129.784,729.75366,
126.873,487.32464,
123.963,338.41273,
121.052,229.85516,
118.141,146.32863,
115.231,128.23574,
112.320,109.13819,
109.410,90.13654,
106.499,75.18128,
103.589,66.397455,
100.678,57.110809,
97.767,44.313933,
94.857,42.614022,
91.946,42,
89.036,41.548408,
86.125,38.711587,
83.215,34.283558,
80.304,31.239433,
77.393,31.947603,
74.483,32,
71.572,29.101183,
68.662,24.346337,
65.751,27.878593,
62.840,26.59149,
59.930,23.812714,
57.019,23.107632,
54.109,18.819874,
51.198,17.508046,
48.288,20.9547,
45.377,15.327676,
42.466,15.885535,
39.556,20.345356,
36.645,22.451926,
33.735,19.884509,
30.824,15.453791,
