,PLECFE~1,
Wavenumbers [1/cm],Intensity,
176.353,6320.7889,
173.442,6349.9893,
170.532,6363.9535,
167.621,6314.2062,
164.711,6185.6507,
161.800,6009.9867,
158.890,5799.8263,
155.979,5463.8272,
153.068,5078.8509,
150.158,4627.6804,
147.247,4015.9851,
144.337,3368.3948,
141.426,2696.688,
138.516,2002.7373,
135.605,1452.4661,
132.694,1001.5851,
129.784,651.49656,
126.873,439.81812,
123.963,289.19574,
121.052,184.23699,
118.141,124.98313,
115.231,97.748327,
112.320,79.548189,
109.410,67.431961,
106.499,55.325322,
103.589,56.111527,
100.678,56.033783,
97.767,48.924407,
94.857,37.662175,
91.946,36.377998,
89.036,40.621021,
86.125,33.528968,
83.215,29.095398,
80.304,26.271135,
77.393,24.854795,
74.483,27.37054,
71.572,26.213535,
68.662,21.542198,
65.751,19.422844,
62.840,16.823192,
59.930,15.124572,
57.019,16.534736,
54.109,11.972713,
51.198,11.766093,
48.288,18.699038,
45.377,12.368635,
42.466,10.162219,
39.556,11.440711,
36.645,15.653853,
33.735,14.673006,
30.824,11.424678,
27.914,7.2176267,
25.003,8.6179124,
22.092,9.1041909,
19.182,7.7042343,
16.271,6.305254,
13.361,-6.8937393,
10.450,-41.196756,
7.539,-139.65922,
4.629,-284.00474,
1.718,-347.78261,
-1.192,-193.01652,
-4.103,-136.78983,
-7.013,-79.503517,
-9.924,-2.25,
