,PL12CC~1,
Wavenumbers [1/cm],Intensity,
42.466,5.5,
39.556,5.2697628,
36.645,3.8653824,
33.735,3.5,
30.824,1.2911303,
27.914,-5.7206222,
25.003,-3.3868126,
22.092,-2.4687137,
19.182,-4.0423427,
16.271,9.9474599,
13.361,61.860377,
10.450,134.63442,
7.539,187.70639,
4.629,25.433184,
1.718,-237.42821,
-1.192,-556.72041,
-4.103,-516.67996,
-7.013,-324.95373,
-9.924,-5.5,
