,PLF53F~1,
Raman shift [1/cm],Intensity,
126.873,357.15812,
123.963,247.00437,
121.052,178.41909,
118.141,139.15448,
115.231,106.31376,
112.320,87.916369,
109.410,77.591119,
106.499,59.787238,
103.589,50.95771,
100.678,48.62973,
97.767,52.895356,
94.857,47.456088,
91.946,40.16267,
89.036,33.56449,
86.125,37.110516,
83.215,37.46908,
80.304,35.802837,
77.393,32.261987,
74.483,27.414055,
71.572,25,
68.662,24.44586,
65.751,18.794251,
62.840,23.262126,
59.930,28.876283,
57.019,24.645791,
54.109,16.236909,
51.198,14.619311,
48.288,23.011325,
45.377,24.418081,
42.466,26.236658,
39.556,27.079051,
36.645,21.46153,
33.735,22.596242,
30.824,23.453791,
27.914,18.545564,
25.003,18.622637,
22.092,19.322905,
19.182,20.594954,
16.271,38.781698,
13.361,151.36449,
10.450,361.50342,
7.539,742.08529,
4.629,906.57327,
1.718,849.54535,
-1.192,463.32727,
-4.103,183.69326,
-7.013,24.663239,
-9.924,1,
