,PLF08B~1,
Raman shift [1/cm],Intensity,
100.678,54.24054,
97.767,45.709289,
94.857,37.87712,
91.946,34.903111,
89.036,34.709715,
86.125,29.745278,
83.215,24.252637,
80.304,22.654894,
77.393,29.028424,
74.483,31.465405,
71.572,30.325887,
68.662,26.084395,
65.751,21.845689,
62.840,20.5,
59.930,20.874572,
57.019,22.284736,
54.109,22.5,
51.198,19.785517,
48.288,13.516987,
45.377,15.627122,
42.466,16.5,
39.556,16.615119,
36.645,17.317309,
33.735,18.538497,
30.824,19.720887,
27.914,20.422062,
25.003,21.122637,
22.092,22.468714,
19.182,24.934774,
16.271,38.225087,
13.361,123.99847,
10.450,303.96968,
7.539,707.59596,
4.629,1095.4461,
1.718,1291.6509,
-1.192,1067.1704,
-4.103,614.3467,
-7.013,237.13239,
-9.924,0.5,
